option,type,file
PCI_ECAM,bool,drivers/pci/Kconfig
NET_DSA_TAG_QCA,tristate,net/dsa/Kconfig
SECCOMP,bool,arch/Kconfig
CPU_FREQ_GOV_CONSERVATIVE,tristate,drivers/cpufreq/Kconfig
HIGH_RES_TIMERS,bool,kernel/time/Kconfig
SERIAL_SH_SCI_EARLYCON,bool,drivers/tty/serial/Kconfig
PCMCIA_AXNET,tristate,drivers/net/ethernet/8390/Kconfig
SPI_TOPCLIFF_PCH,tristate,drivers/spi/Kconfig
COMMON_CLK_WM831X,tristate,drivers/clk/Kconfig
LCD_HP700,tristate,drivers/video/backlight/Kconfig
KGDB_HONOUR_BLOCKLIST,bool,lib/Kconfig.kgdb
CRYPTO_AES_S390,tristate,drivers/crypto/Kconfig
BE2NET_LANCER,bool,drivers/net/ethernet/emulex/benet/Kconfig
PVPANIC_MMIO,tristate,drivers/misc/pvpanic/Kconfig
BACKLIGHT_HP680,tristate,drivers/video/backlight/Kconfig
SND_EP93XX_SOC_AC97,tristate,sound/soc/cirrus/Kconfig
VIDEO_WM8739,tristate,drivers/media/i2c/Kconfig
ARCH_HAS_SET_MEMORY,bool,arch/Kconfig
SAMPLE_TIMER,bool,samples/Kconfig
CRYPTO_MANAGER_EXTRA_TESTS,bool,crypto/Kconfig
DRM_AMD_DC,bool,drivers/gpu/drm/amd/display/Kconfig
COMMON_CLK_MT6765_MFGSYS,bool,drivers/clk/mediatek/Kconfig
SECURITY_TOMOYO_MAX_AUDIT_LOG,integer,security/tomoyo/Kconfig
BLK_DEV_DM,tristate,drivers/md/Kconfig
RTC_DRV_88PM80X,tristate,drivers/rtc/Kconfig
DRA752_THERMAL,bool,drivers/thermal/ti-soc-thermal/Kconfig
WWAN,bool,drivers/net/wwan/Kconfig
BLK_DEV_RSXX,tristate,drivers/block/Kconfig
LEDS_AAT1290,tristate,drivers/leds/Kconfig
R3964,tristate,drivers/char/Kconfig
PHY_SAMSUNG_UFS,tristate,drivers/phy/samsung/Kconfig
SND_AOA_ONYX,tristate,sound/aoa/codecs/Kconfig
SND_SOC_INTEL_KBL_RT5660_MACH,tristate,sound/soc/intel/boards/Kconfig
PWM_TWL,tristate,drivers/pwm/Kconfig
SND_SOC_ROCKCHIP_SPDIF,tristate,sound/soc/rockchip/Kconfig
LANTIQ_ETOP,tristate,drivers/net/ethernet/Kconfig
MTD_NAND_S3C2410,tristate,drivers/mtd/nand/raw/Kconfig
RT2800USB_RT3573,bool,drivers/net/wireless/ralink/rt2x00/Kconfig
HISILICON_LPC,bool,drivers/bus/Kconfig
CRYPTO_SHA3_512_S390,tristate,drivers/crypto/Kconfig
VLAN_8021Q,tristate,net/8021q/Kconfig
IP_MULTIPLE_TABLES,bool,net/ipv4/Kconfig
MTRR_SANITIZER_SPARE_REG_NR_DEFAULT,integer,arch/x86/Kconfig
VFIO_PCI_VGA,bool,drivers/vfio/pci/Kconfig
PPC_BESTCOMM,tristate,drivers/dma/bestcomm/Kconfig
MPC5200_WDT,bool,drivers/watchdog/Kconfig
FLATMEM_MANUAL,bool,mm/Kconfig
ACPI_BGRT,bool,drivers/acpi/Kconfig
SND_SOC_PCM1789,tristate,sound/soc/codecs/Kconfig
SENSORS_LTC4260,tristate,drivers/hwmon/Kconfig
UEVENT_HELPER,bool,drivers/base/Kconfig
CRYPTO_KEYWRAP,tristate,crypto/Kconfig
MTD_NETSC520,tristate,drivers/mtd/maps/Kconfig
PCIE_MICROCHIP_HOST,bool,drivers/pci/controller/Kconfig
XEN_DOM0,bool,arch/x86/xen/Kconfig
FIRMWARE_MEMMAP,bool,drivers/firmware/Kconfig
CMA_SIZE_SEL_MAX,bool,kernel/dma/Kconfig
SSB_SDIOHOST,bool,drivers/ssb/Kconfig
SERIAL_CPM,tristate,drivers/tty/serial/Kconfig
BT_RFCOMM,tristate,net/bluetooth/rfcomm/Kconfig
FIX_EARLYCON_MEM,bool,arch/x86/Kconfig
TEST_HASH,tristate,lib/Kconfig.debug
LEDS_TRIGGER_HEARTBEAT,tristate,drivers/leds/trigger/Kconfig
DEV_APPLETALK,tristate,drivers/net/appletalk/Kconfig
RAS_CEC,bool,arch/x86/ras/Kconfig
INTEL_PUNIT_IPC,tristate,drivers/platform/x86/Kconfig
BLK_INLINE_ENCRYPTION,bool,block/Kconfig
FB_TFT_HX8353D,tristate,drivers/staging/fbtft/Kconfig
ND_PFN,tristate,drivers/nvdimm/Kconfig
CHARGER_LP8727,tristate,drivers/power/supply/Kconfig
SCSI_INITIO,tristate,drivers/scsi/Kconfig
ARMADA_THERMAL,tristate,drivers/thermal/Kconfig
STK8BA50,tristate,drivers/iio/accel/Kconfig
DVB_TDA1004X,tristate,drivers/media/dvb-frontends/Kconfig
SERIAL_ALTERA_UART_CONSOLE,bool,drivers/tty/serial/Kconfig
XZ_DEC_IA64,bool,lib/xz/Kconfig
REGULATOR_DA9211,tristate,drivers/regulator/Kconfig
SERIAL_IMX,tristate,drivers/tty/serial/Kconfig
SERIAL_SB1250_DUART,tristate,drivers/tty/serial/Kconfig
ZRAM_DEF_COMP_LZ4HC,bool,drivers/block/zram/Kconfig
RFD77402,tristate,drivers/iio/proximity/Kconfig
VIDEO_STI_HVA_DEBUGFS,bool,drivers/media/platform/Kconfig
INPUT_RETU_PWRBUTTON,tristate,drivers/input/misc/Kconfig
TOUCHSCREEN_ELAN,tristate,drivers/input/touchscreen/Kconfig
JOYSTICK_ADI,tristate,drivers/input/joystick/Kconfig
CLK_BCM2835,bool,drivers/clk/bcm/Kconfig
DVB_BCM3510,tristate,drivers/media/dvb-frontends/Kconfig
INOTIFY_USER,bool,fs/notify/inotify/Kconfig
SND_SOC_RT286,tristate,sound/soc/codecs/Kconfig
WDAT_WDT,tristate,drivers/watchdog/Kconfig
SECURITY_NETWORK_XFRM,bool,security/Kconfig
SPI_S3C24XX,tristate,drivers/spi/Kconfig
TEE_BNXT_FW,tristate,drivers/firmware/broadcom/Kconfig
I2C_IMX,tristate,drivers/i2c/busses/Kconfig
NF_CONNTRACK_NETBIOS_NS,tristate,net/netfilter/Kconfig
HDMI,bool,drivers/video/Kconfig
MTK_THERMAL,tristate,drivers/thermal/Kconfig
MULTIPLEXER,tristate,drivers/mux/Kconfig
SCSI_DH,bool,drivers/scsi/device_handler/Kconfig
SCSI_LOGGING,bool,drivers/scsi/Kconfig
DRM_I2C_NXP_TDA9950,tristate,drivers/gpu/drm/i2c/Kconfig
SAMPLES,bool,samples/Kconfig
SX9500,tristate,drivers/iio/proximity/Kconfig
FB_CYBER2000_DDC,bool,drivers/video/fbdev/Kconfig
HIPPI,bool,drivers/net/hippi/Kconfig
BRIDGE_EBT_T_FILTER,tristate,net/bridge/netfilter/Kconfig
SENSORS_ULTRA45,tristate,drivers/hwmon/Kconfig
NETWORK_FILESYSTEMS,bool,fs/Kconfig
IRQ_POLL,bool,lib/Kconfig
FSI_NEW_DEV_NODE,bool,drivers/fsi/Kconfig
MODULE_FORCE_UNLOAD,bool,init/Kconfig
PINCTRL_MESON8B,bool,drivers/pinctrl/meson/Kconfig
JOYSTICK_IFORCE_232,tristate,drivers/input/joystick/iforce/Kconfig
B53_SERDES,tristate,drivers/net/dsa/b53/Kconfig
PHY_CADENCE_SALVO,tristate,drivers/phy/cadence/Kconfig
CLK_TEGRA_BPMP,bool,drivers/clk/tegra/Kconfig
GREYBUS_LOOPBACK,tristate,drivers/staging/greybus/Kconfig
CRYPTO_FIPS,bool,crypto/Kconfig
HID_MCP2221,tristate,drivers/hid/Kconfig
TCG_TIS_SPI_CR50,bool,drivers/char/tpm/Kconfig
KVM_INTEL,tristate,arch/x86/kvm/Kconfig
ASUS_LAPTOP,tristate,drivers/platform/x86/Kconfig
LEDS_OT200,tristate,drivers/leds/Kconfig
NF_FLOW_TABLE,tristate,net/netfilter/Kconfig
CRYPTO_MD4,tristate,crypto/Kconfig
